,Unnamed: 0,date,plant_id,tray,plant_area,plant_convex_hull_area,plant_solidity,plant_perimeter,plant_width,plant_height,plant_longest_path,plant_convex_hull_vertices,plant_ellipse_major_axis,plant_ellipse_minor_axis,plant_ellipse_angle,plant_ellipse_eccentricity,total_plants
128,18,Jun-21-2023,plant18,T01,1064,1307.5,0.813766730401529,179.539103984832,51,40,381,16,53.2597274780273,29.4013023376464,120.761734008789,0.833820085543948,55
129,19,Jun-21-2023,plant19,T01,1194,1909.5,0.625294579732914,334.737999677658,55,51,369,17,50.870059967041,43.6708450317382,126.544708251953,0.512849808814342,55
130,20,Jun-21-2023,plant20,T01,1262,1669.5,0.755914944594189,198.75230705738,64,38,410,17,61.4743118286132,35.6257629394531,99.3322677612304,0.814956053504919,55
131,21,Jun-21-2023,plant21,T01,1600,2119.5,0.754895022410946,258.894442439079,65,48,470,21,62.172134399414,41.2727851867675,65.5670700073242,0.747868407252436,55
132,22,Jun-21-2023,plant22,T01,1138,1611,0.706393544382371,230.75230705738,54,39,408,19,52.6562347412109,34.9928321838378,69.5001373291015,0.747241581522019,55
133,23,Jun-21-2023,plant23,T01,1138,1615,0.704643962848297,194.651801824569,44,58,364,19,55.9326629638671,41.8348197937011,147.093276977539,0.663755385095364,55
134,24,Jun-21-2023,plant24,T01,797,1106.5,0.72028920018075,170.367531061172,54,34,355,21,51.1668357849121,27.0399570465087,71.9497299194336,0.848954174823035,55
135,25,Jun-21-2023,plant25,T01,986,1203.5,0.819277108433734,175.438598752021,41,50,362,19,51.4145278930664,28.7712173461914,33.3508491516113,0.828767465831767,55
136,26,Jun-21-2023,plant26,T01,1157,1733.5,0.667435823478511,243.379723668098,51,53,351,18,48.4888000488281,42.1373977661132,23.2219543457031,0.494789247825086,55
137,27,Jun-21-2023,plant27,T01,1033,1449,0.712905452035886,213.92387998104,47,49,348,14,49.4494552612304,39.0543060302734,133.916793823242,0.613387210531301,55
138,28,Jun-21-2023,plant28,T01,954,1326,0.71945701357466,202.99494767189,55,37,371,17,50.3223838806152,32.2445564270019,101.434127807617,0.767741483678182,55
139,29,Jun-21-2023,plant29,T01,1049,1387.5,0.756036036036036,177.539103984832,56,36,399,14,56.8981056213378,31.6737365722656,72.9676055908203,0.830730560881049,55
140,30,Jun-21-2023,plant30,T01,1046,1666,0.627851140456182,279.62741959095,50,48,348,17,52.236228942871,41.9939460754394,147.497406005859,0.594732353968465,55
141,31,Jun-21-2023,plant31,T01,931,1193.5,0.780058651026392,187.539103984832,27,60,425,15,58.8040046691894,23.6193485260009,11.9739246368408,0.915787879916462,55
142,32,Jun-21-2023,plant32,T01,1623,2425,0.669278350515463,266.551296591758,80,50,519,21,73.5620803833007,42.653091430664,112.162620544433,0.814741449022064,55
143,33,Jun-21-2023,plant33,T01,1141,1396.5,0.81704260651629,184.367531061172,59,39,431,17,65.0398330688476,25.2443752288818,115.828979492187,0.921601625082781,55
144,34,Jun-21-2023,plant34,T01,1339,1708.5,0.78372841673983,203.095452904701,50,53,399,18,56.7702713012695,36.1644325256347,34.682071685791,0.770838040361156,55
145,35,Jun-21-2023,plant35,T01,1278,1682,0.759809750297265,210.40916121006,61,46,399,22,60.3265113830566,36.1037063598632,63.5551071166992,0.801143990179868,55
146,36,Jun-21-2023,plant36,T01,654,877.5,0.745299145299145,159.781744599342,55,22,382,19,56.3864402770996,17.8174533843994,98.3767700195312,0.948763098419986,55
147,37,Jun-21-2023,plant37,T01,1097,1430,0.767132867132867,189.781744599342,44,52,384,17,55.4307098388671,32.0651626586914,32.3046417236328,0.815701612656081,55
148,38,Jun-21-2023,plant38,T01,523,737,0.709633649932157,177.091705560684,26,46,327,16,49.4691658020019,17.7118072509765,160.538803100585,0.933707278414009,55
149,39,Jun-21-2023,plant39,T01,609,878,0.693621867881549,188.034442305564,41,43,354,18,52.8107643127441,20.0971183776855,134.691497802734,0.924760486097189,55
150,40,Jun-21-2023,plant40,T01,849,1286,0.660186625194401,269.052627682685,52,40,349,19,49.6748962402343,33.7448539733886,63.3607521057128,0.73384770091372,55
151,41,Jun-21-2023,plant41,T01,1088,1492,0.729222520107238,179.438598752021,42,52,364,16,54.4638175964355,35.0798988342285,156.585510253906,0.764945102836512,55
152,42,Jun-21-2023,plant42,T01,1314,1763,0.745320476460578,231.92387998104,66,39,422,16,64.569709777832,34.5422706604003,93.4215240478515,0.84487681081195,55
153,43,Jun-21-2023,plant43,T01,1728,2634.5,0.655911937749098,350.446078419685,76,54,487,21,70.3279266357421,44.937931060791,73.3153915405273,0.769225799218031,55
154,44,Jun-21-2023,plant44,T01,871,1358,0.641384388807069,192.610171675682,50,43,360,16,47.2262382507324,39.8078689575195,109.716217041015,0.538041296044837,55
155,45,Jun-21-2023,plant45,T01,1560,1859,0.839160839160839,215.33809351921,55,48,408,20,57.0767059326171,38.2846755981445,127.527519226074,0.74167598793694,55
156,46,Jun-21-2023,plant46,T01,1285,1970,0.65228426395939,244.651801824569,49,59,425,16,57.2636070251464,45.8428764343261,172.807525634765,0.599254398336721,55
157,47,Jun-21-2023,plant47,T01,1087,1574.5,0.690377897745316,202.99494767189,61,38,384,19,55.4098854064941,37.0289611816406,92.6454772949218,0.743915622758726,55
